Array Length, Size (bytes), (ns)
1, 8, 2.54
2, 16, 2.33
4, 32, 2.33
8, 64, 2.33
16, 128, 2.33
32, 256, 2.33
64, 512, 2.33
128, 1024, 2.37
256, 2048, 2.33
512, 4096, 2.33
1024, 8192, 2.33
2048, 16384, 2.33
4096, 32768, 2.33
8192, 65536, 3.36
16384, 131072, 4.02
32768, 262144, 5.64
65536, 524288, 12.52
131072, 1048576, 16.16
262144, 2097152, 17.87
524288, 4194304, 18.82
1048576, 8388608, 21.83
1310720, 10485760, 25.30
1572864, 12582912, 31.91
2097152, 16777216, 45.11
3145728, 25165824, 61.77




15,2.33
18,5.64
23.3219,25.3
